id,code,name,parent_id/id,level,is_debt_account,is_general_account,account_type,allowed_compare,chart_template_id/id
chart24212,24212,"Công cụ, dụng cụ xuất dùng",chart2421,3,0,0,asset_non_current,,l10n_vn.vn_template
chart24213,24213,Chi phí đi vay,chart2421,3,0,0,asset_non_current,,l10n_vn.vn_template
chart24214,24214,Chi phí thành lập doanh nghiệp,chart2421,3,0,0,asset_non_current,,l10n_vn.vn_template
chart24215,24215,Chi phí mua bảo hiểm,chart2421,3,0,0,asset_non_current,,l10n_vn.vn_template
chart24218,24218,Chi phí trả trước ngắn hạn khác,chart2421,3,0,0,asset_non_current,,l10n_vn.vn_template
chart2422,2422,Chi phí trả trước: dài hạn,chart242,2,0,1,asset_non_current,,l10n_vn.vn_template
chart24221,24221,Chi phí trả trước về thuê hoạt động TSCĐ,chart2422,3,0,0,asset_non_current,,l10n_vn.vn_template
chart24222,24222,"Công cụ, dụng cụ xuất dùng",chart2422,3,0,0,asset_non_current,,l10n_vn.vn_template
chart24223,24223,Chi phí đi vay,chart2422,3,0,0,asset_non_current,,l10n_vn.vn_template
chart24224,24224,Chi phí thành lập doanh nghiệp,chart2422,3,0,0,asset_non_current,,l10n_vn.vn_template
chart24225,24225,Chi phí mua bảo hiểm,chart2422,3,0,0,asset_non_current,,l10n_vn.vn_template
chart24228,24228,Chi phí trả trước dài hạn khác,chart2422,3,0,0,asset_non_current,,l10n_vn.vn_template
chart243,243,Tài sản thuế thu nhập hoãn lại,,1,0,0,asset_non_current,,l10n_vn.vn_template
chart244,244,"Cầm cố, thế chấp, ký quỹ, ký cược",,1,0,1,asset_non_current,,l10n_vn.vn_template
chart2441,2441,"Cầm cố, thế chấp, ký quỹ, ký cược: ngắn hạn",chart244,2,0,0,asset_non_current,,l10n_vn.vn_template
chart2442,2442,"Cầm cố, thế chấp, ký quỹ, ký cược: dài hạn",chart244,2,0,0,asset_non_current,,l10n_vn.vn_template
chart331,331,Phải trả cho người bán,,1,1,1,liability_payable,1,l10n_vn.vn_template
chart3311,3311,Phải trả ngắn hạn người bán,chart331,2,1,1,liability_payable,1,l10n_vn.vn_template
chart33111,33111,Phải trả cho người bán: hoạt động SXKD,chart3311,3,1,0,liability_payable,1,l10n_vn.vn_template
chart33112,33112,Phải trả ngắn hạn người bán: hoạt động đầu tư,chart3311,3,1,0,liability_payable,1,l10n_vn.vn_template
chart33113,33113,Phải trả ngắn hạn người bán: hoạt động tài chính,chart3311,3,1,0,liability_payable,1,l10n_vn.vn_template
chart3312,3312,Phải trả dài hạn người bán,chart331,2,1,1,liability_payable,1,l10n_vn.vn_template
chart33121,33121,Phải trả dài hạn người bán: hoạt động SXKD,chart3312,3,1,0,liability_payable,1,l10n_vn.vn_template
chart33122,33122,Phải trả dài hạn người bán: hoạt động đầu tư,chart3312,3,1,0,liability_payable,1,l10n_vn.vn_template
chart33123,33123,Phải trả dài hạn người bán: hoạt động tài chính,chart3312,3,1,0,liability_payable,1,l10n_vn.vn_template
chart333,333,Thuế và các khoản phải nộp Nhà nước,,1,0,1,liability_payable,1,l10n_vn.vn_template
chart3331,3331,Thuế GTGT phải nộp,chart333,2,0,1,liability_payable,1,l10n_vn.vn_template
chart33311,33311,Thuế GTGT phải nộp hàng trong nước,chart3331,3,0,1,liability_payable,1,l10n_vn.vn_template
chart333111,333111,Thuế GTGT phải nộp hàng trong nước: HĐ SXKD,chart33311,4,0,0,liability_payable,1,l10n_vn.vn_template
chart333112,333112,Thuế GTGT phải nộp hàng trong nước: HĐ đầu tư,chart33311,4,0,0,liability_payable,1,l10n_vn.vn_template
chart333113,333113,Thuế GTGT phải nộp hàng trong nước: HĐ tài chính,chart33311,4,0,0,liability_payable,1,l10n_vn.vn_template
chart33312,33312,Thuế GTGT phải nộp hàng nhập khẩu,chart3331,3,0,1,liability_payable,1,l10n_vn.vn_template
chart333121,333121,Thuế GTGT phải nộp hàng nhập khẩu: HĐ SXKD,chart33312,4,0,0,liability_payable,1,l10n_vn.vn_template
chart333122,333122,Thuế GTGT phải nộp hàng nhập khẩu: HĐ đầu tư,chart33312,4,0,0,liability_payable,1,l10n_vn.vn_template
chart333123,333123,Thuế GTGT phải nộp hàng nhập khẩu: HĐ tài chính,chart33312,4,0,0,liability_payable,1,l10n_vn.vn_template
chart33313,33313,"Thuế GTGT hàng bán bị trả lại, giảm giá hàng bán",chart3331,3,0,1,liability_payable,1,l10n_vn.vn_template
chart333131,333131,"Thuế GTGT hàng bán bị trả lại, giảm giá hàng bán: HĐ SXKD",chart33313,4,0,0,liability_payable,1,l10n_vn.vn_template
chart333132,333132,"Thuế GTGT hàng bán bị trả lại, giảm giá hàng bán: HĐ đầu tư",chart33313,4,0,0,liability_payable,1,l10n_vn.vn_template
chart333133,333133,"Thuế GTGT hàng bán bị trả lại, giảm giá hàng bán: HĐ tài chính",chart33313,4,0,0,liability_payable,1,l10n_vn.vn_template
chart3332,3332,Thuế tiêu thụ đặc biệt,chart333,2,0,0,liability_payable,1,l10n_vn.vn_template
chart3333,3333,"Thuế xuất, nhập khẩu",chart333,2,0,1,liability_payable,1,l10n_vn.vn_template
chart33331,33331,Thuế xuất khẩu,chart3333,3,0,0,liability_payable,1,l10n_vn.vn_template
chart33332,33332,Thuế nhập khẩu,chart3333,3,0,1,liability_payable,1,l10n_vn.vn_template
chart333321,333321,Thuế nhập khẩu: HĐ SXKD,chart33332,4,0,0,liability_payable,1,l10n_vn.vn_template
chart333322,333322,Thuế nhập khẩu: HĐ đầu tư,chart33332,4,0,0,liability_payable,1,l10n_vn.vn_template
chart3334,3334,Thuế thu nhập doanh nghiệp,chart333,2,0,0,liability_payable,1,l10n_vn.vn_template
chart3335,3335,Thuế thu nhập cá nhân,chart333,2,0,0,liability_payable,1,l10n_vn.vn_template
chart3336,3336,Thuế tài nguyên,chart333,2,0,0,liability_payable,1,l10n_vn.vn_template
chart3337,3337,"Thuế nhà đất, tiền thuê đất",chart333,2,0,1,liability_payable,1,l10n_vn.vn_template
chart33371,33371,Thuế nhà đất,chart3337,3,0,0,liability_payable,1,l10n_vn.vn_template
chart33372,33372,Tiền thuê đất,chart3337,3,0,0,liability_payable,1,l10n_vn.vn_template
chart3338,3338,Thuế bảo vệ môi trường và các loại thuế khác,chart333,2,0,1,liability_payable,1,l10n_vn.vn_template
chart33381,33381,Thuế bảo vệ môi trường,chart3338,3,0,0,liability_payable,1,l10n_vn.vn_template
chart33382,33382,Các loại thuế khác,chart3338,3,0,0,liability_payable,1,l10n_vn.vn_template
chart3339,3339,"Phí, lệ phí, các khoản phải nộp khác",chart333,2,0,1,liability_payable,1,l10n_vn.vn_template
chart33391,33391,Các khoản phụ thu,chart3339,3,0,0,liability_payable,1,l10n_vn.vn_template
chart33392,33392,"Các khoản phí, lệ phí",chart3339,3,0,0,liability_payable,1,l10n_vn.vn_template
chart33398,33398,Các khoản phải nộp khác,chart3339,3,0,0,liability_payable,1,l10n_vn.vn_template
chart334,334,Phải trả người lao động,,1,0,1,liability_payable,1,l10n_vn.vn_template
chart3341,3341,Phải trả công nhân viên,chart334,2,0,0,liability_payable,1,l10n_vn.vn_template
chart3348,3348,Phải trả người lao động khác,chart334,2,0,0,liability_payable,1,l10n_vn.vn_template
chart335,335,Chi phí phải trả,,1,0,1,asset_prepayments,,l10n_vn.vn_template
chart3351,3351,Chi phí phải trả: ngắn hạn,chart335,2,0,1,asset_prepayments,,l10n_vn.vn_template
chart33511,33511,Chi phí phải trả:lãi vay,chart3351,3,0,0,asset_prepayments,,l10n_vn.vn_template
chart33512,33512,Trích trước CP tiền lương trong thời gian nghỉ,chart3351,3,0,0,asset_prepayments,,l10n_vn.vn_template
chart33513,33513,Chi phí trong thời gian ngừng kinh doanh,chart3351,3,0,0,asset_prepayments,,l10n_vn.vn_template
chart33514,33514,"Chi phí trích trước tạm tính giá vốn hàng hóa, thành phẩm BĐS đã bán",chart3351,3,0,0,asset_prepayments,,l10n_vn.vn_template
chart33518,33518,Chi phí phải trả khác,chart3351,3,0,0,asset_prepayments,,l10n_vn.vn_template
chart3352,3352,Chi phí phải trả: dài hạn,chart335,2,0,1,asset_prepayments,,l10n_vn.vn_template
chart33521,33521,Chi phí phải trả:lãi vay,chart3352,3,0,0,asset_prepayments,,l10n_vn.vn_template
